127.0.0.1 - - [08/Oct/2022:17:31:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/stu/aca/changeMajor/main.do HTTP/1.1" 200 8325
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/circular-std/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/morris-bundle/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/fontawesome/css/fontawesome-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/libs/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/js/datedropper-javascript-lang-KO.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/charts/c3charts/c3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/fonts/flag-icon-css/flag-icon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/stu/aca/changeMajor/sweetalert2.all.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/css/common.css HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/js/datedropper-javascript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2022:17:31:27 +0900] "GET /ddit/resources/bootstrap/assets/vendor/slimscroll/jquery.slimscroll.js HTTP/1.1" 304 -
