127.0.0.1 - - [05/Nov/2022:09:08:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:04 +0900] "GET /ai/index?mCode=M040100 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:04 +0900] "GET /ai/common/loginForm.do;jsessionid=726CE2716EB7319BA2515F41A4839361 HTTP/1.1" 200 5686
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:04 +0900] "GET /ai/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:04 +0900] "GET /ai/assets/vendor/jquery/jquery-3.3.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:04 +0900] "GET /ai/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:04 +0900] "POST /cdn-cgi/rum? HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "POST /ai/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "GET /ai/index?mCode=M040100 HTTP/1.1" 200 30787
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "POST /cdn-cgi/rum? HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "GET /ai/stu/score/semester/list HTTP/1.1" 200 18762
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "GET /ai/main.do HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "GET /ai/stu/score/semester/assets/images/avatar-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "GET /ai/subMenu.do?mCode=M040000 HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:06 +0900] "GET /ai/menu.do?mCode=M040100 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:12 +0900] "GET /ai/subMenu.do?mCode=M030000 HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:13 +0900] "GET /ai/subMenu.do?mCode=M030000 HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:14 +0900] "GET /ai/subMenu.do?mCode=M040000 HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:15 +0900] "GET /ai/stu/score/semester/list HTTP/1.1" 200 18762
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:15 +0900] "GET /ai/stu/score/semester/assets/images/avatar-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:08:15 +0900] "GET /ai/menu.do?mCode=M040100 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:41 +0900] "GET /ai/menu.do?mCode=M060000 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:41 +0900] "GET /ai/subMenu.do?mCode=M060000 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:41 +0900] "GET /ai/stu/tuition/list HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:42 +0900] "GET /ai/subMenu.do?mCode=M070000 HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:44 +0900] "GET /ai/subMenu.do?mCode=M070000 HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:44 +0900] "GET /ai/stu/tuition/list HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:44 +0900] "GET /ai/menu.do?mCode=M060000 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:44 +0900] "GET /ai/subMenu.do?mCode=M060000 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:45 +0900] "GET /ai/subMenu.do?mCode=M040000 HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:45 +0900] "GET /ai/subMenu.do?mCode=M030000 HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:47 +0900] "GET /ai/menu.do?mCode=M030600 HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:09:47 +0900] "GET /ai/stu/lec/eval/main.do HTTP/1.1" 200 4103
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:11:23 +0900] "GET /ai/stu/lec/eval/registForm.do?lecCd=dddd HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:11:27 +0900] "GET /ai/subMenu.do?mCode=M030000 HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:11:29 +0900] "GET /ai/subMenu.do?mCode=M040000 HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:11:29 +0900] "GET /ai/stu/score/semester/list HTTP/1.1" 200 18762
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:11:29 +0900] "GET /ai/stu/score/semester/assets/images/avatar-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:11:29 +0900] "GET /ai/menu.do?mCode=M040100 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:14:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:14:05 +0900] "GET /ai/resources/js/pdf.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:14:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/js/summernote-bs4.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:14:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:14:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:14:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:14:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:16:11 +0900] "GET /ai/stu/score/total/list HTTP/1.1" 200 8710
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:16:11 +0900] "GET /ai/menu.do?mCode=M040200 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:16:36 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2022:09:16:36 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css.map HTTP/1.1" 404 721
